localitate,email,latitudine,longitudine,domeniu,inregistrari_mx,inregistrare_spf
Moreni,mailto:contact@primariamoreni.ro,44.980277777,25.644444444,primariamoreni.ro,0 primariamoreni.ro,v=spf1 ip4:31.14.23.171 +a +mx +ip4:188.213.20.34 include:spf.mxserver.ro +ip4:89.44.138.139 +ip4:31.14.23.222 +ip4:176.223.125.100 ~all
Medgidia,mailto:office@primaria-medgidia.ro,44.250277777,28.261388888,primaria-medgidia.ro,0 primaria-medgidia.ro,v=spf1 +a +mx +ip4:193.231.242.80 +ip4:193.231.242.81 +ip4:193.231.242.82 +ip4:193.231.242.83 ~all
Făgăraș,mailto:secretariat@primaria-fagaras.ro,45.842222222,24.971388888,primaria-fagaras.ro,0 mail.primaria-fagaras.ro,v=spf1 ip4:176.223.226.105 include:spf.mailjet.com ip4:46.165.232.180 ip4:95.211.2.201 include:_spf.google.com a mx ~all
Brazi,mailto:relatiicupublicul@pcbrazi.ro,44.883333333,26.0,pcbrazi.ro,0 mail.pcbrazi.ro,v=spf1 +a +mx +ip4:31.14.34.245 +include:_netblock.opticnet.ro +ip4:31.14.34.242 +ip4:31.14.34.249 -all
Sector 4,mailto:contact@ps4.ro,44.43527778,26.10277778,ps4.ro,0 ps4-ro.mail.protection.outlook.com,v=spf1  include:spfa.mailendo.com include:amazonses.com include:spf.protection.outlook.com -all
Hârșova,mailto:secretariat@primaria-harsova.ro,44.683333333,27.951944444,primaria-harsova.ro,0 mail.primaria-harsova.ro,v=spf1 +a +mx +ip4:185.171.185.104 include:spf.mxserver.ro +ip4:185.171.184.64 +ip4:77.81.165.37 +include:spf.antispamcloud.com +ip4:5.154.224.53 +ip4:2.58.129.48 +ip4:185.68.188.13 -all
Huedin,mailto:secretariat@primariahuedin.ro,46.8737583,23.0041212,primariahuedin.ro,0 primariahuedin.ro,v=spf1 +a +mx +ip4:185.125.109.175 ~all
Marghita,mailto:primaria@marghita.ro,47.35,22.333333333,marghita.ro,5 ALT2.ASPMX.L.GOOGLE.COM; 1 ASPMX.L.GOOGLE.COM; 10 ALT4.ASPMX.L.GOOGLE.COM; 5 ALT1.ASPMX.L.GOOGLE.COM; 10 ALT3.ASPMX.L.GOOGLE.COM,v=spf1 ip4:89.42.218.79 ip4:89.42.218.162 include:_spf.google.com ~all
Vatra Dornei,mailto:primaria@vatra-dornei.ro,47.35,25.366666666,vatra-dornei.ro,10 mx.zooku.ro; 10 mx.zooku.net; 15 tar-mx.myhost.ro; 10 mx.myhost.ro; 5 fake-mx.myhost.ro,v=spf1 include:myhost.ro -all
Orșova,mailto:primariaorsova@primariaorsova.ro,44.725277777,22.396111111,primariaorsova.ro,10 mail.primariaorsova.ro,v=spf1 a mx a:smtp.livehosting.ro ~all
Plopeni,mailto:contact@primariaplopeni.ro,45.0458318,25.9535975,primariaplopeni.ro,0 primariaplopeni.ro,v=spf1 +a +mx +ip4:91.212.66.10 +ip4:91.212.66.14 ~all
Cristian,mailto:contact@primariacristian.ro,45.6286,25.4833,primariacristian.ro,30 mx03.whmpanels.com; 10 mx01.whmpanels.com; 20 mx02.whmpanels.com,v=spf1 include:relay.romarg.net -all
Slănic-Moldova,mailto:primaria@primariaslanicmoldova.ro,46.2066318,26.438397,primariaslanicmoldova.ro,30 mx03.whmpanels.com; 10 mx01.whmpanels.com; 20 mx02.whmpanels.com,v=spf1 include:relay.romarg.net -all
Perieți,mailto:primariaperieti@yahoo.com,44.565833333,27.240833333,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Bârca,mailto:primaria.barca@yahoo.ro,43.983333333,23.633333333,yahoo.ro,10 mx-eu.mail.am0.yahoodns.net,v=spf1 redirect=_spf.mail.yahoo.com
Valea lui Mihai,mailto:primaria@valealuimihai.ro,47.52,22.13,valealuimihai.ro,30 mx03.whmpanels.com; 10 mx01.whmpanels.com; 20 mx02.whmpanels.com,v=spf1 include:relay.romarg.net -all
Salcea,mailto:postmaster@primariasalcea.ro,47.65,26.37,primariasalcea.ro,1 mail.primariasalcea.ro,v=spf1 a mx ip4:136.255.100.218 ~all
Bechet,mailto:bechet@cjdolj.ro,43.780330555,23.9568,cjdolj.ro,5 wmail.cjdolj.ro,v=spf1 a mx a:cjdolj.ro ip4:81.18.86.171 ~all
Faraoani,mailto:primaria@comunafaraoani.ro,46.43333333,26.9,comunafaraoani.ro,0 comunafaraoani.ro,v=spf1 include:relay.romarg.net include:sendgrid.net -all
Lugoj,mailto:contact@primarialugoj.ro,45.686111111,21.900555555,primarialugoj.ro,10 mx1-eu.emailsecurity.app; 30 smarthost1-eu.emailsecurity.app; 1 mail.primarialugoj.ro; 20 mx2-eu.emailsecurity.app,v=spf1 ip4:92.87.111.13 +a +mx +ip4:52.236.20.16 +include:spf1.emailsecurity.app ~all
Orăștie,mailto:primaria@orastie.info.ro,45.840277777,23.199444444,orastie.info.ro,0 mail.orastie.info.ro,v=spf1 +a +mx +ip4:89.46.7.233 +ip4:185.236.84.123 +ip4:109.101.126.115 include:spf.mxserver.ro ~all
Bușteni,mailto:uatobusteni@gmail.com,45.415277777,25.5375,gmail.com,20 alt2.gmail-smtp-in.l.google.com; 30 alt3.gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Sovata,mailto:secretariat@primariasovata.ro,46.596111111,25.074444444,primariasovata.ro,0 primariasovata.ro,v=spf1 +mx +a +ip4:80.97.162.169 ~all
Amărăștii de Sus,mailto:amarastii_de_sus@cjdolj.ro,43.966666666,24.162777777,cjdolj.ro,5 wmail.cjdolj.ro,v=spf1 a mx a:cjdolj.ro ip4:81.18.86.171 ~all
Cenei,mailto:primaria.cenei@cjtimis.ro,45.71583333,20.90388889,cjtimis.ro,10 antispam.itps.ro,v=spf1 a mx ip4:81.196.33.74 ip4:81.196.33.66 ip4:91.212.162.5 ~all
Dej,mailto:primaria@dej.ro,47.141388888,23.876388888,dej.ro,5 mail.dej.ro,v=spf1 a mx include:spfc50.megamailservers.eu include:verticalresponse.com +ip4:82.208.159.177 -all
Roznov,mailto:roznov@primariaroznov.ro,46.835555555,26.511666666,primariaroznov.ro,30 mx03.whmpanels.com; 10 mx01.whmpanels.com; 20 mx02.whmpanels.com,v=spf1 ip4:89.42.218.142 include:relay.romarg.net -all
Fierbinți-Târg,mailto:primariafierbinti@yahoo.com,44.683333333,26.383333333,yahoo.com,1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Cajvana,mailto:primaria_cajvana@yahoo.com,47.704444444,25.969444444,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Băbeni,mailto:babeni@vl.e-adm.ro,44.975,24.231111111,vl.e-adm.ro,10 mx2.stsmail.ro; 10 mx1.stsmail.ro,v=spf1 mx ip4:193.151.29.160/27 include:stsmail.ro ~all
Șomcuta Mare,mailto:primariasomcutamare@gmail.com,47.516666666,23.466666666,gmail.com,20 alt2.gmail-smtp-in.l.google.com; 30 alt3.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Flămânzi,mailto:orasflamanzi@yahoo.com,47.56444444,26.87277778,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Sântana,mailto:contact@primariasantana.ro,46.35,21.5,primariasantana.ro,10 mx.spamexperts.com; 30 lastmx.spamexperts.net; 20 fallbackmx.spamexperts.eu,v=spf1 ip4:91.213.188.119 ip4:91.213.188.119 ip4:89.36.21.38 include:_spf.google.com ~all
Podu Iloaiei,mailto:podu_iloaiei@yahoo.com,47.216666666,27.266666666,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Răcari,mailto:contact@primariaracari.ro,44.633333333,25.733333333,primariaracari.ro,10 alt3.aspmx.l.google.com; 1 aspmx.l.google.com; 5 alt2.aspmx.l.google.com; 10 alt4.aspmx.l.google.com; 5 alt1.aspmx.l.google.com,v=spf1 ip4:185.236.85.133 include:spf.mxserver.ro +a +mx +ip4:188.212.156.35 ~all
Ardud,mailto:primaria@orasardud.ro,47.633333333,22.883333333,orasardud.ro,10 orasardud.ro,v=spf1 ip4:86.107.43.90 ip4:85.9.26.50 +mx +a +ip4:212.146.84.3 ~all
Murgeni,mailto:secretariat@primaria-murgeni.ro,46.2,28.016666666,primaria-murgeni.ro,10 filter10.antispamcloud.com; 30 filter30.antispamcloud.com; 20 filter20.antispamcloud.com; 40 filter40.antispamcloud.com,v=spf1 ip4:89.40.196.172 ip4:89.40.196.172 +a +mx +ip4:89.40.196.182 +ip4:89.40.196.186 +ip4:89.40.196.174 +ip4:89.40.196.183 +ip4:89.40.196.82 +include:spf.antispamcloud.com -all
Amara,mailto:consiliullocalamara@yahoo.com,44.62,27.32,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net,
Băneasa,mailto:secretariat@primaria-baneasa.ro,44.06333333,27.70166667,primaria-baneasa.ro,0 primaria-baneasa.ro,v=spf1 +a +mx +ip4:176.126.200.105 +ip4:176.126.200.93 -all
